department,create_time,statistic_cycle,biz_name,stability,timeliness,completeness,accuracy,consistency,uniqueness,normativity,object_type,level,interface_business_level_id
-,20250727,1,-,100%,0%,100%,100%,100%,100%,100%,1,,1753962934490
-,20250727,1,大音,100%,36%,100%,100%,100%,100%,100%,1,,1753962934491
-,20250727,1,掌经,100%,57%,100%,100%,100%,100%,100%,1,,1753962934492
-,20250727,1,一经,100%,50%,100%,100%,100%,100%,100%,1,,1753962934493
-,20250727,2,-,100%,67%,100%,100%,100%,100%,100%,1,,1753962934494
-,20250727,2,大音,100%,68%,100%,100%,100%,100%,100%,1,,1753962934495
-,20250727,2,掌经,100%,89%,100%,100%,100%,100%,100%,1,,1753962934496
-,20250727,2,一经,100%,76%,100%,100%,100%,100%,100%,1,,1753962934497
-,20250727,3,-,100%,90%,100%,100%,100%,100%,100%,1,,1753962934498
-,20250727,3,大音,100%,79%,100%,100%,100%,100%,100%,1,,1753962934499
-,20250727,3,掌经,100%,92%,100%,100%,100%,100%,100%,1,,1753962934500
-,20250727,3,一经,100%,81%,100%,100%,100%,100%,100%,1,,1753962934501
业务室,20250727,1,-,100%,2%,100%,100%,100%,100%,100%,1,,1753962934502
业务室,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934503
业务室,20250727,1,掌经,100%,0%,100%,100%,100%,100%,100%,1,,1753962934504
业务室,20250727,1,一经,100%,14%,100%,100%,100%,100%,100%,1,,1753962934505
业务室,20250727,2,-,100%,68%,100%,100%,100%,100%,100%,1,,1753962934506
业务室,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934507
业务室,20250727,2,掌经,100%,75%,100%,100%,100%,100%,100%,1,,1753962934508
业务室,20250727,2,一经,100%,82%,100%,100%,100%,100%,100%,1,,1753962934509
业务室,20250727,3,-,100%,87%,100%,100%,100%,100%,100%,1,,1753962934510
业务室,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934511
业务室,20250727,3,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934512
业务室,20250727,3,一经,100%,96%,100%,100%,100%,100%,100%,1,,1753962934513
业务管理室,20250727,1,-,100%,0%,100%,100%,100%,100%,100%,1,,1753962934514
业务管理室,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934515
业务管理室,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934516
业务管理室,20250727,1,一经,100%,40%,100%,100%,100%,100%,100%,1,,1753962934517
业务管理室,20250727,2,-,100%,60%,100%,100%,100%,100%,100%,1,,1753962934518
业务管理室,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934519
业务管理室,20250727,2,掌经,-,-,-,-,-,-,-,1,,1753962934520
业务管理室,20250727,2,一经,100%,87%,100%,100%,100%,100%,100%,1,,1753962934521
业务管理室,20250727,3,-,100%,80%,100%,100%,100%,100%,100%,1,,1753962934522
业务管理室,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934523
业务管理室,20250727,3,掌经,-,-,-,-,-,-,-,1,,1753962934524
业务管理室,20250727,3,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934525
云计算和客户响应中心,20250727,1,-,100%,36%,100%,100%,100%,100%,100%,1,,1753962934526
云计算和客户响应中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934527
云计算和客户响应中心,20250727,1,掌经,100%,10%,100%,100%,100%,100%,100%,1,,1753962934528
云计算和客户响应中心,20250727,1,一经,100%,33%,100%,100%,100%,100%,100%,1,,1753962934529
云计算和客户响应中心,20250727,2,-,100%,64%,100%,100%,100%,100%,100%,1,,1753962934530
云计算和客户响应中心,20250727,2,大音,-,-,-,-,-,-,-,1,,1753962934531
云计算和客户响应中心,20250727,2,掌经,100%,77%,100%,100%,100%,100%,100%,1,,1753962934532
云计算和客户响应中心,20250727,2,一经,100%,78%,100%,100%,100%,100%,100%,1,,1753962934533
云计算和客户响应中心,20250727,3,-,100%,72%,100%,100%,100%,100%,100%,1,,1753962934534
云计算和客户响应中心,20250727,3,大音,-,-,-,-,-,-,-,1,,1753962934535
云计算和客户响应中心,20250727,3,掌经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934536
云计算和客户响应中心,20250727,3,一经,100%,93%,100%,100%,100%,100%,100%,1,,1753962934537
产品研发中心,20250727,1,-,100%,14%,100%,100%,100%,100%,100%,1,,1753962934538
产品研发中心,20250727,1,大音,-,-,-,-,-,-,-,1,,1753962934539
产品研发中心,20250727,1,掌经,-,-,-,-,-,-,-,1,,1753962934540
产品研发中心,20250727,1,一经,100%,100%,100%,100%,100%,100%,100%,1,,1753962934541
