interface_id,department,create_time,statistic_cycle,biz_name,level,object_type,stability,timeliness,completeness,accuracy,consistency,uniqueness,normativity,interface_business_level_id
100001,-,20250629,1,一经,P0,1,100%,50%,100%,100%,100%,100%,100%,1753793278667
100001,-,20250629,1,一经,P0,2,100%,50%,100%,100%,100%,100%,100%,1753793278668
100001,-,20250629,2,一经,P0,1,100%,50%,100%,100%,100%,100%,100%,1753793278669
100001,-,20250629,2,一经,P0,2,100%,50%,100%,100%,100%,100%,100%,1753793278670
100001,-,20250629,3,一经,P0,1,100%,50%,100%,100%,100%,100%,100%,1753793278671
100001,-,20250629,3,一经,P0,2,100%,50%,100%,100%,100%,100%,100%,1753793278672
100005,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278673
100005,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278674
100005,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278675
100005,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278676
100005,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278677
100005,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278678
100006,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278679
100006,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278680
100006,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278681
100006,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278682
100006,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278683
100006,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278684
100007,-,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278685
100007,-,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278686
100007,-,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278687
100007,-,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278688
100007,-,20250629,3,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278689
100007,-,20250629,3,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278690
100008,集团客户部,20250629,1,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278691
100008,集团客户部,20250629,1,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278692
100008,集团客户部,20250629,2,一经,P0,1,100%,100%,100%,100%,100%,100%,100%,1753793278693
100008,集团客户部,20250629,2,一经,P0,2,100%,100%,100%,100%,100%,100%,100%,1753793278694
