interface_id,department,create_time,biz_name,level,stability_scan,scan_timeliness,stability_clean,cleaning_timeliness,stability_convert,conversion_timeliness,stability_warehouse,warehousing_timeliness,stability_check,inspection_timeliness,accuracy_sample_field,consistency_file_record,completeness_file_field,uniqueness_primary_key,normativity_field_format,statistic_cycle,statistic_week_month,metric_trend_id,metric_type
100001,-,20250727,一经,P0,100%,100%,100%,0%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061862,-
100005,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061863,-
100006,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061864,-
100007,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061865,-
100008,集团客户部,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061866,-
100009,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061867,-
100010,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061868,-
100011,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061869,-
100012,集团客户部,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061870,-
100013,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061871,-
100014,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061872,-
100015,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061873,-
100016,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061874,-
100017,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061875,-
100018,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061876,-
100020,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061877,-
100021,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061878,-
100022,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061879,-
100023,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061880,-
100024,-,20250727,一经,P0,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061881,-
100025,-,20250727,其他,P5,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061882,-
100026,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061883,-
100027,-,20250727,其他,P5,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061884,-
100028,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061885,-
100029,-,20250727,其他,P5,100%,0%,100%,100%,100%,100%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061886,-
100030,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061887,-
100031,-,20250727,其他,P5,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061888,-
100032,-,20250727,一经,P0,100%,66%,100%,33%,100%,66%,100%,33%,100%,33%,100%,100%,100%,100%,100%,1,20250727,1753870061889,-
100033,-,20250727,一经,P0,100%,33%,100%,33%,100%,66%,100%,33%,100%,66%,100%,100%,100%,100%,100%,1,20250727,1753870061890,-
100034,信息系统部,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061891,-
100035,信息系统部,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061892,-
100036,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061893,-
100037,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061894,-
100038,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061895,-
100039,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061896,-
100040,服务管理部,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061897,-
100041,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061898,-
100042,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061899,-
100043,-,20250727,一经,P0,100%,50%,100%,50%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061900,-
100044,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,1,20250727,1753870061901,-
100046,-,20250727,一经,P0,100%,50%,100%,50%,100%,50%,100%,50%,100%,50%,100%,100%,100%,100%,100%,1,20250727,1753870061902,-
100047,-,20250727,其他,P5,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,100%,100%,100%,100%,1,20250727,1753870061903,-
